[2025-12-08 01:30:21] GET id=53, fuente=noticia
[2025-12-08 01:30:21] ✓ Noticia encontrada: ID=53, Título=Por qué la mayoría de los plásticos no se puede reciclar
[2025-12-08 01:30:28] GET id=40, fuente=noticia
[2025-12-08 01:30:28] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-08 01:30:35] GET id=28, fuente=noticia
[2025-12-08 01:30:35] ✓ Noticia encontrada: ID=28, Título=Miles de dólares en juego: todo El Salvador consternado por el escándalo que genera una crisis en la Fesfut
[2025-12-08 01:30:43] GET id=42, fuente=noticia
[2025-12-08 01:30:43] ✓ Noticia encontrada: ID=42, Título=¿Cómo reservar una cabaña en el Club de Playa del Instituto Salvadoreño de Pensiones?
[2025-12-08 01:32:27] GET id=55, fuente=noticia
[2025-12-08 01:32:27] ✓ Noticia encontrada: ID=55, Título=Cambio climático: El ser humano ha calentado el planeta a un nivel nunca visto en los últimos 2000 años
[2025-12-08 01:32:35] GET id=49, fuente=noticia
[2025-12-08 01:32:35] ✓ Noticia encontrada: ID=49, Título=Cómo es el nuevo formato del Mundial Sub 17: 48 equipos, más partidos y cambios históricos de FIFA en Qatar 2025
[2025-12-08 01:32:40] GET id=53, fuente=noticia
[2025-12-08 01:32:40] ✓ Noticia encontrada: ID=53, Título=Por qué la mayoría de los plásticos no se puede reciclar
[2025-12-08 01:32:46] GET id=41, fuente=noticia
[2025-12-08 01:32:46] ✓ Noticia encontrada: ID=41, Título=Ante la negativa del Camp Nou: Definen el estadio para el Barcelona-PSG
[2025-12-08 01:32:51] GET id=31, fuente=noticia
[2025-12-08 01:32:51] ✗ Noticia NO encontrada para id=31 en tabla noticia
[2025-12-08 01:32:54] GET id=24, fuente=noticia
[2025-12-08 01:32:54] ✓ Noticia encontrada: ID=24, Título=¿Es saludable dormir con un gato?: la respuesta de los expertos
[2025-12-08 01:32:58] GET id=16, fuente=noticia
[2025-12-08 01:32:58] ✗ Noticia NO encontrada para id=16 en tabla noticia
[2025-12-08 01:33:02] GET id=36, fuente=noticia
[2025-12-08 01:33:02] ✓ Noticia encontrada: ID=36, Título=Berlín, el tesoro turístico escondido en Usulután
[2025-12-08 01:33:48] GET id=55, fuente=noticia
[2025-12-08 01:33:48] ✓ Noticia encontrada: ID=55, Título=Cambio climático: El ser humano ha calentado el planeta a un nivel nunca visto en los últimos 2000 años
[2025-12-08 01:34:02] GET id=54, fuente=noticia
[2025-12-08 01:34:02] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-08 01:34:17] GET id=54, fuente=noticia
[2025-12-08 01:34:17] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-08 01:34:32] GET id=50, fuente=noticia
[2025-12-08 01:34:32] ✓ Noticia encontrada: ID=50, Título=Mientras Saprissa ya se despidió de la Copa Centroamericana, Concacaf confirma el duro castigo que golpea a Vladimir Quesada
[2025-12-08 01:34:39] GET id=40, fuente=noticia
[2025-12-08 01:34:39] ✓ Noticia encontrada: ID=40, Título=Los aviones más feos de la historia
[2025-12-08 01:34:48] GET id=43, fuente=noticia
[2025-12-08 01:34:48] ✓ Noticia encontrada: ID=43, Título=5 actividades que podés disfrutar este fin de semana en el Centro Histórico de San Salvador
[2025-12-08 04:43:20] GET id=50, fuente=noticia
[2025-12-08 04:43:20] ✓ Noticia encontrada: ID=50, Título=Mientras Saprissa ya se despidió de la Copa Centroamericana, Concacaf confirma el duro castigo que golpea a Vladimir Quesada
[2025-12-08 04:43:27] GET id=64, fuente=noticia
[2025-12-08 04:43:27] ✗ Noticia NO encontrada para id=64 en tabla noticia
[2025-12-08 04:43:30] GET id=39, fuente=noticia
[2025-12-08 04:43:30] ✓ Noticia encontrada: ID=39, Título=¿Querés hacer camping y no sabés dónde? 5 destinos que te van a encantar
[2025-12-08 04:43:46] GET id=54, fuente=noticia
[2025-12-08 04:43:46] ✓ Noticia encontrada: ID=54, Título=Estudio vincula el exceso de ozono en la atmósfera con un aumento de riesgos cardíacos
[2025-12-10 03:42:28] GET id=55, fuente=noticia
[2025-12-10 03:42:28] ✓ Noticia encontrada: ID=55, Título=Cambio climático: El ser humano ha calentado el planeta a un nivel nunca visto en los últimos 2000 años
[2025-12-10 15:43:08] GET id=45, fuente=noticia
[2025-12-10 15:43:08] ✓ Noticia encontrada: ID=45, Título=El Salvador inaugura 70 escuelas con el programa “Dos Escuelas por Día”
[2025-12-10 15:43:25] GET id=55, fuente=noticia
[2025-12-10 15:43:25] ✓ Noticia encontrada: ID=55, Título=Cambio climático: El ser humano ha calentado el planeta a un nivel nunca visto en los últimos 2000 años
[2025-12-10 17:16:32] GET id=59, fuente=noticia
[2025-12-10 17:16:32] ✗ Noticia NO encontrada para id=59 en tabla noticia
[2025-12-10 17:16:37] GET id=57, fuente=noticia
